Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint,0.0014629,1.727E-07,0.20791,0,0,0,16.209,0.53081,1.6778E-07,0.00067055,1.0663,2.744E-07,1.3749,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/base_footprint.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/base_footprint.STL,,Base_New-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,0.028887,4.6114E-05,0.4015,0,0,0,38.511,1.3307,5.4581E-05,-0.0022872,1.9545,-0.00017972,1.759,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/base_link.STL,,Base_New-1;perçin - Copy-1;perçin - Copy-2;Head-1,Coordinate System2,,base_link_jn,fixed,0,0,0.105,0,0,0,base_footprint,0,0,0,,,,,,,,,,,,
left_wheel,4.4409E-16,-4.7668E-05,0,0,0,0,1.2096,0.0023434,6.1896E-36,1.6299E-36,0.0040809,1.2242E-17,0.0023434,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/left_wheel.STL,,wheelchuan-2,Coordinate System12,Axis1,left_wheel_jn,continuous,0,0.16297,-0.02,0,0,0,base_link,0,1,0,,,,,,,,0,,,,
right_wheel,0,-4.7668E-05,2.7756E-17,0,0,0,1.2096,0.0023434,-3.2911E-20,-2.9892E-19,0.0040809,-6.0004E-18,0.0023434,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/right_wheel.STL,,wheelchuan-1,Coordinate System11,Axis1,right_wheel_jn,continuous,0,-0.16297,-0.02,0,0,0,base_link,0,1,0,,,,,,,,0,,,,
laser,-0.0010682,1.7798E-05,-0.018854,0,0,0,0.0094944,3.8153E-06,3.0098E-11,-8.0845E-10,3.8141E-06,-2.0344E-11,4.9345E-06,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/laser.STL,0.082353,0.082353,0.082353,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/laser.STL,,rplidar-s1-1,Coordinate System14,,lidar,fixed,0.00086811,-1.7374E-05,0.2438,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,-0.00014074,2.3807E-12,-0.013256,0,0,0,0.26083,3.4611E-05,2.276E-14,-1.8559E-07,5.2869E-05,-2.3713E-15,5.8033E-05,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/imu.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/imu.STL,,Dji a2 imu-2,Coordinate System13,,mpu,fixed,0,0,0.0363,0,0,0,base_link,0,0,0,,,,,,,,,,,,
truocphai_tren,2.2204E-16,-2.7756E-17,-0.022634,0,0,0,0.065037,4.2933E-05,3.6181E-06,-3.5433E-21,3.7806E-05,-8.3071E-21,3.2705E-05,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/truocphai_tren.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/truocphai_tren.STL,,dem - Copy-2;perçin-2,Coordinate System3,Axis4,truocphai_tren_jn,revolute,0.25109,-0.1581,-0.01,0,0,0,base_link,0,0,-1,0,0,0,0,,,,0,,,,
truocphai_duoi,-1.1102E-16,0,0,0,0,0,0.14196,6.492E-05,-1.0211E-05,3.2053E-20,7.939E-05,-6.4274E-20,5.964E-05,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/truocphai_duoi.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/truocphai_duoi.STL,,banhphu-2,Coordinate System7,Axis5,truocphai_duoi_jn,continuous,0,0,-0.058,0,0,0,truocphai_tren,-0.45928,0.88829,0,,,,,,,,0,,,,
truoctrai_tren,-3.3307E-16,-7.2164E-16,-0.022634,0,0,0,0.065036,3.8275E-05,3.9078E-06,-4.8475E-21,4.2464E-05,-2.6422E-20,3.2706E-05,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/truoctrai_tren.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/truoctrai_tren.STL,,dem - Copy-3;perçin-3,Coordinate System4,Axis2,truoctrai_tren_jn,revolute,0.25092,0.16015,-0.01,0,0,0,base_link,0,0,-1,0,0,0,0,,,,0,,,,
truoctrai_duoi,-1.2212E-15,-1.1102E-16,-5.2736E-16,0,0,0,0.14196,7.8066E-05,-1.103E-05,4.6234E-20,6.6243E-05,-2.372E-20,5.964E-05,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/truoctrai_duoi.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/truoctrai_duoi.STL,,banhphu-3,Coordinate System8,Axis3,truoctrai_duoi_jn,continuous,0,0,-0.058,0,0,0,truoctrai_tren,-0.85802,0.51362,0,,,,,,,,0,,,,
traisau_tren,3.3307E-16,1.1102E-16,-0.022634,0,0,0,0.065037,3.625E-05,-1.6396E-06,-1.0574E-20,4.449E-05,-3.3039E-20,3.2705E-05,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/traisau_tren.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/traisau_tren.STL,,dem - Copy-4;perçin-4,Coordinate System5,Axis6,traisau_tren_jn,revolute,-0.25098,0.15995,-0.01,0,0,0,base_link,0,0,-1,0,0,0,0,,,,0,,,,
traisau_duoi,4.996E-16,3.8858E-16,5.5511E-17,0,0,0,0.14196,8.3782E-05,4.6277E-06,-1.2479E-20,6.0527E-05,3.4929E-21,5.964E-05,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/traisau_duoi.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/traisau_duoi.STL,,banhphu-4,Coordinate System9,Axis7,traisau_duoi-jn,continuous,0,0,-0.058,0,0,0,traisau_tren,-0.98212,-0.18826,0,,,,,,,,0,,,,
phaisau_tren,0,1.8041E-15,-0.022634,0,0,0,0.065037,3.9992E-05,-4.4182E-06,2.6999E-21,4.0747E-05,-4.0512E-20,3.2705E-05,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/phaisau_tren.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/phaisau_tren.STL,,dem - Copy-1;perçin-1,Coordinate System6,Axis8,phaisau_tren_jn,revolute,-0.25115,-0.1584,-0.01,0,0,0,base_link,0,0,-1,0,0,0,0,,,,0,,,,
phaisau_duoi,3.3307E-16,1.1935E-15,-6.1062E-16,0,0,0,0.14196,7.3221E-05,1.2469E-05,-5.3375E-20,7.1089E-05,-5.884E-20,5.964E-05,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/phaisau_duoi.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/phaisau_duoi.STL,,banhphu-1,Coordinate System10,Axis9,phaisau_duoi_jn,continuous,0,0,-0.058,0,0,0,phaisau_tren,0.73661,0.67632,0,,,,,,,,0,,,,
cam_xa,-0.28864,7.9562E-05,-0.43352,0,0,0,0.2,0.79986,5.4413E-05,-0.0029577,0.88821,-0.00018,0.3841,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/cam_xa.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/cam_xa.STL,,Head-1,Coordinate System15,,cam_xa_jn,fixed,0.3375,0,1.0525,0,0,0,base_link,0,0,0,,,,,,,,,,,,
cam_gan,0.0092073,7.7999E-05,-0.47601,0,0,0,0.2,0.66586,0.00014781,0.19433,0.88821,-0.00011623,0.5181,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/cam_gan.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobileCamera.SLDASM/meshes/cam_gan.STL,,Head-1,Coordinate System16,,cam_gan_jn,fixed,0.31434,0,1.0142,0,0.61087,0,base_link,0,0,0,,,,,,,,,,,,
